gender,age,category,payment_method,total
Female,54,Cosmetics,Card,650.56
Female,66,Clothing,Card,1200.32
Female,48,Cosmetics,Card,162.64
Male,46,Clothing,Card,1200.32
Male,54,Shoes,Cash,9602.72
Male,62,Books,Cash,378.75
Female,64,Toys,Card,322.56
Male,55,Food & Beverage,Cash,47.07
Female,20,Clothing,Card,300.08
Male,41,Toys,Card,896.0
Male,54,Food & Beverage,Card,130.75
Male,34,Clothing,Cash,300.08
Female,31,Clothing,Cash,300.08
Male,48,Toys,Cash,573.44
Female,42,Shoes,Card,600.17
Male,25,Shoes,Card,600.17
Male,64,Clothing,Cash,7502.0
Female,67,Technology,Cash,26250.0
Female,55,Clothing,Cash,1200.32
Female,54,Clothing,Card,1200.32
Female,30,Clothing,Cash,1200.32
Female,58,Cosmetics,Card,1016.5
Male,49,Shoes,Card,15004.25
Female,49,Clothing,Cash,2700.7200000000003
Female,19,Clothing,Card,7502.0
Female,58,Food & Beverage,Card,5.23
Female,49,Food & Beverage,Card,20.92
Female,50,Technology,Cash,1050.0
Female,21,Cosmetics,Cash,650.56
Male,21,Shoes,Cash,2400.68
Male,63,Cosmetics,Card,1016.5
Male,30,Souvenir,Card,46.92
Male,66,Shoes,Card,15004.25
Female,45,Shoes,Card,9602.72
Male,53,Clothing,Card,7502.0
Female,50,Books,Cash,15.15
Female,47,Food & Beverage,Card,47.07
Female,36,Clothing,Card,300.08
Female,61,Food & Beverage,Cash,47.07
Female,46,Toys,Card,573.44
Male,47,Technology,Card,26250.0
Male,29,Clothing,Cash,4801.28
Female,58,Cosmetics,Card,365.94
Male,69,Technology,Card,9450.0
Female,53,Cosmetics,Cash,650.56
Male,26,Food & Beverage,Cash,5.23
Male,53,Food & Beverage,Cash,5.23
Female,63,Clothing,Card,4801.28
Male,45,Souvenir,Card,46.92
Female,62,Toys,Card,573.44
Female,18,Clothing,Card,300.08
Male,50,Clothing,Cash,300.08
Male,31,Clothing,Card,7502.0
Male,62,Clothing,Cash,7502.0
Female,20,Clothing,Card,7502.0
Female,65,Books,Cash,378.75
Female,63,Souvenir,Cash,11.73
Female,59,Clothing,Card,300.08
Female,63,Cosmetics,Card,1016.5
Male,65,Clothing,Cash,4801.28
Female,21,Food & Beverage,Card,20.92
Female,33,Books,Card,378.75
Female,23,Souvenir,Cash,46.92
Female,49,Souvenir,Cash,293.25
Male,57,Shoes,Card,2400.68
Female,54,Toys,Card,573.44
Female,41,Cosmetics,Card,365.94
Female,21,Shoes,Cash,5401.53
Female,45,Toys,Card,35.84
Female,58,Shoes,Card,5401.53
Male,53,Food & Beverage,Cash,83.68
Male,39,Food & Beverage,Card,130.75
Female,21,Shoes,Cash,600.17
Female,51,Toys,Card,35.84
Male,50,Clothing,Card,1200.32
Female,50,Cosmetics,Cash,650.56
Male,61,Food & Beverage,Cash,47.07
Male,44,Food & Beverage,Card,130.75
Female,31,Souvenir,Card,187.68
Male,64,Food & Beverage,Card,5.23
Male,50,Clothing,Card,1200.32
Male,45,Clothing,Card,300.08
Female,33,Clothing,Cash,300.08
Male,29,Food & Beverage,Cash,20.92
Male,65,Technology,Card,9450.0
Female,66,Clothing,Cash,300.08
Male,54,Cosmetics,Card,365.94
Male,44,Technology,Card,16800.0
Male,46,Toys,Cash,896.0
Male,37,Food & Beverage,Cash,130.75
Female,22,Food & Beverage,Card,130.75
Female,55,Cosmetics,Cash,650.56
Male,41,Technology,Cash,4200.0
Male,42,Toys,Card,322.56
Male,24,Shoes,Card,5401.53
Female,43,Cosmetics,Cash,650.56
Male,40,Clothing,Card,2700.7200000000003
Female,22,Cosmetics,Cash,650.56
Female,27,Books,Cash,15.15
Female,48,Clothing,Card,1200.32
Male,25,Clothing,Card,2700.7200000000003
Male,30,Food & Beverage,Cash,83.68
Male,57,Clothing,Card,1200.32
Male,29,Food & Beverage,Cash,47.07
Female,69,Cosmetics,Card,40.66
Female,38,Toys,Card,35.84
Female,46,Clothing,Card,1200.32
Male,31,Cosmetics,Card,365.94
Male,26,Clothing,Cash,7502.0
Male,30,Books,Card,378.75
Male,56,Clothing,Cash,300.08
Male,65,Food & Beverage,Cash,20.92
Female,53,Clothing,Card,1200.32
Male,26,Food & Beverage,Cash,20.92
Male,23,Clothing,Card,7502.0
Male,56,Clothing,Cash,4801.28
Female,37,Toys,Cash,143.36
Male,48,Clothing,Card,2700.7200000000003
Male,56,Food & Beverage,Card,20.92
Female,40,Food & Beverage,Card,47.07
Female,38,Shoes,Card,15004.25
Female,40,Cosmetics,Card,365.94
Male,64,Toys,Cash,35.84
Male,28,Souvenir,Card,293.25
Male,49,Cosmetics,Card,650.56
Male,51,Food & Beverage,Cash,47.07
Male,22,Clothing,Card,2700.7200000000003
Female,67,Clothing,Card,7502.0
Female,22,Toys,Card,143.36
Female,26,Clothing,Cash,2700.7200000000003
Female,45,Books,Card,15.15
Female,43,Clothing,Card,300.08
Female,35,Cosmetics,Card,162.64
Male,49,Clothing,Card,2700.7200000000003
Female,49,Food & Beverage,Cash,47.07
Male,33,Clothing,Cash,7502.0
Female,65,Food & Beverage,Cash,20.92
Male,40,Souvenir,Cash,187.68
Male,68,Technology,Cash,4200.0
Female,26,Cosmetics,Cash,650.56
Male,38,Toys,Card,35.84
Female,56,Cosmetics,Card,650.56
Male,19,Cosmetics,Cash,40.66
Female,18,Cosmetics,Cash,162.64
Male,55,Food & Beverage,Card,5.23
Female,53,Cosmetics,Cash,162.64
Male,27,Cosmetics,Cash,365.94
Female,43,Cosmetics,Card,1016.5
Male,38,Toys,Card,573.44
Male,34,Food & Beverage,Card,20.92
Male,23,Food & Beverage,Card,130.75
Male,56,Food & Beverage,Card,83.68
Male,60,Food & Beverage,Card,83.68
Female,59,Souvenir,Cash,187.68
Male,43,Clothing,Card,300.08
Male,55,Books,Cash,242.4
Male,40,Clothing,Cash,2700.7200000000003
Female,43,Food & Beverage,Card,20.92
Male,59,Food & Beverage,Card,83.68
Male,24,Books,Card,378.75
Female,63,Clothing,Card,7502.0
Male,31,Food & Beverage,Cash,20.92
Female,69,Clothing,Card,1200.32
Female,36,Books,Card,136.35000000000002
Male,22,Food & Beverage,Cash,47.07
Male,39,Food & Beverage,Cash,5.23
Male,26,Cosmetics,Card,365.94
Male,44,Shoes,Card,2400.68
Female,66,Shoes,Card,600.17
Male,61,Shoes,Cash,600.17
Female,30,Cosmetics,Card,162.64
Male,55,Toys,Card,896.0
Female,51,Clothing,Card,300.08
Male,53,Cosmetics,Cash,650.56
Female,54,Clothing,Card,7502.0
Male,34,Clothing,Card,1200.32
Female,49,Clothing,Card,300.08
Female,41,Souvenir,Cash,187.68
Female,34,Clothing,Card,300.08
Female,59,Cosmetics,Cash,365.94
Female,25,Clothing,Card,2700.7200000000003
Female,63,Toys,Card,322.56
Male,68,Technology,Card,1050.0
Male,58,Shoes,Card,600.17
Male,58,Shoes,Card,600.17
Male,47,Clothing,Card,300.08
Female,51,Cosmetics,Card,40.66
Male,56,Food & Beverage,Cash,130.75
Male,33,Clothing,Cash,7502.0
Male,27,Technology,Card,26250.0
Male,50,Shoes,Cash,9602.72
Female,49,Technology,Cash,1050.0
Female,52,Souvenir,Cash,293.25
Male,54,Clothing,Cash,300.08
Male,19,Cosmetics,Card,365.94
Male,69,Food & Beverage,Card,83.68
Female,41,Clothing,Card,7502.0
Female,25,Toys,Cash,143.36
Female,51,Shoes,Cash,9602.72
Male,62,Clothing,Cash,300.08
Female,47,Cosmetics,Cash,40.66
Male,40,Shoes,Card,9602.72
Female,35,Clothing,Card,2700.7200000000003
Female,48,Clothing,Cash,1200.32
Male,26,Food & Beverage,Cash,130.75
Female,27,Food & Beverage,Cash,5.23
Female,26,Souvenir,Card,293.25
Female,65,Food & Beverage,Card,47.07
Female,19,Books,Card,242.4
Male,21,Technology,Card,16800.0
Female,61,Food & Beverage,Cash,130.75
Female,65,Toys,Card,896.0
Male,42,Clothing,Cash,2700.7200000000003
Male,33,Food & Beverage,Card,47.07
Female,54,Clothing,Card,1200.32
Female,67,Food & Beverage,Card,83.68
Female,41,Food & Beverage,Cash,5.23
Female,35,Clothing,Cash,300.08
Male,62,Clothing,Cash,300.08
Male,26,Toys,Cash,35.84
Male,48,Cosmetics,Cash,650.56
Female,53,Shoes,Cash,2400.68
Male,58,Cosmetics,Cash,650.56
Female,32,Clothing,Card,1200.32
Female,23,Food & Beverage,Cash,130.75
Female,49,Toys,Cash,573.44
Female,26,Clothing,Card,4801.28
Female,62,Clothing,Card,7502.0
Male,30,Toys,Cash,35.84
Female,28,Clothing,Card,1200.32
Female,65,Shoes,Card,2400.68
Female,56,Toys,Card,35.84
Female,40,Food & Beverage,Cash,47.07
Male,55,Clothing,Card,4801.28
Female,61,Toys,Card,143.36
Male,32,Cosmetics,Cash,40.66
Female,44,Clothing,Cash,1200.32
Female,61,Cosmetics,Card,650.56
Male,38,Clothing,Cash,4801.28
Female,66,Clothing,Card,2700.7200000000003
Female,53,Clothing,Cash,7502.0
Female,21,Food & Beverage,Card,83.68
Male,61,Cosmetics,Cash,162.64
Male,25,Toys,Cash,143.36
Female,20,Clothing,Card,4801.28
Female,38,Cosmetics,Cash,650.56
Male,25,Shoes,Card,2400.68
Female,51,Shoes,Cash,600.17
Male,56,Souvenir,Card,46.92
Male,29,Toys,Cash,573.44
Female,62,Food & Beverage,Cash,20.92
Female,32,Clothing,Cash,4801.28
Male,48,Technology,Cash,26250.0
Male,43,Cosmetics,Card,365.94
Male,33,Clothing,Cash,1200.32
Female,49,Food & Beverage,Cash,5.23
Female,29,Clothing,Cash,4801.28
Female,43,Food & Beverage,Card,20.92
Female,36,Food & Beverage,Card,130.75
Female,59,Shoes,Cash,15004.25
Male,27,Technology,Cash,16800.0
Male,44,Clothing,Card,7502.0
Female,52,Food & Beverage,Card,130.75
Male,60,Technology,Card,9450.0
Female,34,Food & Beverage,Card,47.07
Male,47,Clothing,Cash,300.08
Female,58,Toys,Cash,35.84
Female,32,Clothing,Card,2700.7200000000003
Female,23,Toys,Card,896.0
Female,38,Toys,Cash,573.44
Male,63,Souvenir,Card,46.92
Female,50,Food & Beverage,Cash,47.07
Male,64,Cosmetics,Cash,162.64
Male,51,Clothing,Cash,1200.32
Male,21,Food & Beverage,Card,5.23
Male,34,Food & Beverage,Card,47.07
Female,47,Food & Beverage,Card,47.07
Male,47,Clothing,Cash,4801.28
Female,56,Toys,Card,143.36
Male,42,Clothing,Card,7502.0
Male,49,Souvenir,Cash,293.25
Male,27,Food & Beverage,Cash,5.23
Female,61,Clothing,Card,7502.0
Female,38,Shoes,Cash,9602.72
Male,42,Clothing,Card,300.08
Male,58,Food & Beverage,Card,5.23
Male,23,Clothing,Cash,2700.7200000000003
Male,31,Shoes,Cash,5401.53
Male,19,Clothing,Card,4801.28
Male,68,Cosmetics,Cash,1016.5
Male,44,Clothing,Card,7502.0
Female,44,Clothing,Card,1200.32
Female,29,Shoes,Cash,5401.53
Female,67,Food & Beverage,Card,83.68
Female,28,Shoes,Card,15004.25
Male,45,Toys,Card,143.36
Female,55,Clothing,Card,1200.32
Female,69,Food & Beverage,Card,20.92
Male,30,Food & Beverage,Card,83.68
Male,39,Cosmetics,Card,40.66
Female,63,Toys,Card,573.44
Male,49,Cosmetics,Cash,40.66
Female,66,Shoes,Card,9602.72
Female,68,Food & Beverage,Cash,5.23
Male,18,Clothing,Cash,7502.0
Female,54,Clothing,Cash,4801.28
Male,43,Clothing,Card,7502.0
Male,54,Clothing,Cash,300.08
Male,43,Shoes,Card,9602.72
Male,44,Clothing,Card,2700.7200000000003
Male,36,Technology,Card,4200.0
Female,45,Clothing,Card,300.08
Female,41,Clothing,Cash,1200.32
Male,58,Cosmetics,Card,1016.5
Female,34,Shoes,Card,600.17
Female,67,Food & Beverage,Cash,5.23
Male,60,Books,Card,378.75
Female,52,Toys,Cash,322.56
Male,25,Food & Beverage,Card,130.75
Female,22,Clothing,Cash,4801.28
Female,34,Food & Beverage,Card,47.07
Male,30,Clothing,Cash,4801.28
Female,48,Clothing,Cash,2700.7200000000003
Male,30,Clothing,Card,300.08
Female,30,Clothing,Cash,2700.7200000000003
Female,36,Clothing,Cash,7502.0
Female,52,Shoes,Card,15004.25
Male,33,Food & Beverage,Cash,5.23
Male,69,Cosmetics,Cash,1016.5
Male,27,Food & Beverage,Cash,130.75
Female,42,Food & Beverage,Cash,20.92
Female,56,Technology,Card,26250.0
Male,64,Food & Beverage,Card,47.07
Male,59,Food & Beverage,Card,5.23
Male,25,Cosmetics,Cash,1016.5
Female,40,Toys,Card,896.0
Male,56,Clothing,Cash,4801.28
Female,36,Shoes,Cash,600.17
Female,52,Cosmetics,Card,650.56
Female,24,Technology,Card,16800.0
Female,45,Cosmetics,Cash,1016.5
Male,29,Toys,Cash,573.44
Male,24,Books,Card,15.15
Female,46,Clothing,Cash,1200.32
Female,65,Shoes,Cash,9602.72
Female,26,Toys,Card,35.84
Female,58,Toys,Cash,322.56
Female,45,Clothing,Cash,4801.28
Male,43,Cosmetics,Card,365.94
Female,25,Souvenir,Card,187.68
Female,53,Clothing,Card,2700.7200000000003
Female,63,Clothing,Card,300.08
Female,67,Books,Cash,378.75
Female,29,Clothing,Cash,7502.0
Female,55,Clothing,Cash,4801.28
Male,30,Clothing,Card,1200.32
Female,57,Toys,Cash,896.0
Male,33,Shoes,Card,600.17
Female,54,Clothing,Cash,2700.7200000000003
Female,66,Shoes,Card,9602.72
Male,56,Clothing,Card,7502.0
Male,30,Technology,Card,16800.0
Female,19,Clothing,Cash,7502.0
Male,29,Food & Beverage,Card,130.75
Male,44,Clothing,Cash,1200.32
Female,38,Toys,Card,35.84
Female,32,Clothing,Cash,2700.7200000000003
Female,58,Toys,Card,573.44
Female,65,Clothing,Card,300.08
Female,54,Clothing,Card,4801.28
Male,58,Clothing,Cash,7502.0
Female,40,Cosmetics,Card,162.64
Male,24,Clothing,Card,7502.0
Male,66,Food & Beverage,Card,20.92
Male,59,Food & Beverage,Cash,5.23
Male,69,Souvenir,Card,293.25
Female,47,Cosmetics,Card,650.56
Male,39,Technology,Cash,9450.0
Female,54,Clothing,Cash,300.08
Male,30,Clothing,Cash,1200.32
Female,27,Toys,Card,322.56
Female,57,Food & Beverage,Cash,47.07
Male,52,Clothing,Card,300.08
Male,20,Cosmetics,Cash,650.56
Female,20,Cosmetics,Cash,650.56
Female,64,Clothing,Cash,2700.7200000000003
Female,20,Cosmetics,Card,162.64
Female,36,Clothing,Card,300.08
Female,29,Shoes,Card,9602.72
Female,45,Souvenir,Cash,11.73
Female,18,Food & Beverage,Cash,5.23
Female,54,Books,Card,15.15
Male,45,Clothing,Cash,2700.7200000000003
Female,49,Clothing,Cash,1200.32
Male,61,Souvenir,Cash,105.57
Female,28,Food & Beverage,Card,47.07
Female,36,Books,Cash,136.35000000000002
Female,69,Clothing,Cash,1200.32
Female,27,Food & Beverage,Cash,47.07
Female,30,Clothing,Card,2700.7200000000003
Male,67,Cosmetics,Card,650.56
Male,66,Shoes,Card,9602.72
Female,52,Food & Beverage,Cash,83.68
Male,69,Food & Beverage,Card,47.07
Female,63,Clothing,Card,300.08
Female,20,Clothing,Card,7502.0
Female,23,Toys,Cash,573.44
Male,47,Toys,Cash,322.56
Male,43,Clothing,Cash,7502.0
Male,55,Shoes,Cash,600.17
Male,25,Toys,Card,143.36
Female,23,Cosmetics,Cash,40.66
Female,48,Technology,Card,26250.0
Male,64,Souvenir,Cash,11.73
Female,42,Cosmetics,Cash,162.64
Male,43,Clothing,Cash,2700.7200000000003
Female,25,Clothing,Card,2700.7200000000003
Male,66,Clothing,Card,2700.7200000000003
Female,41,Food & Beverage,Cash,5.23
Female,37,Cosmetics,Cash,365.94
Female,19,Clothing,Card,1200.32
Female,64,Technology,Card,16800.0
Female,21,Cosmetics,Card,162.64
Male,51,Food & Beverage,Cash,47.07
Male,67,Books,Cash,378.75
Male,54,Shoes,Card,5401.53
Male,29,Technology,Card,1050.0
Male,24,Souvenir,Cash,187.68
Male,37,Clothing,Card,2700.7200000000003
Female,43,Food & Beverage,Card,130.75
Female,37,Shoes,Card,5401.53
Female,58,Food & Beverage,Cash,5.23
Male,28,Toys,Card,35.84
Male,45,Technology,Card,1050.0
Female,21,Clothing,Cash,4801.28
Female,39,Cosmetics,Cash,1016.5
Male,23,Clothing,Card,7502.0
Male,41,Clothing,Card,300.08
Female,26,Food & Beverage,Card,20.92
Male,51,Toys,Card,573.44
Male,49,Cosmetics,Cash,162.64
Male,45,Clothing,Cash,4801.28
Male,33,Cosmetics,Cash,1016.5
Male,40,Clothing,Cash,300.08
Male,60,Clothing,Card,7502.0
Female,56,Technology,Card,26250.0
Male,68,Books,Card,15.15
Male,27,Toys,Cash,143.36
Male,59,Shoes,Card,9602.72
Male,62,Clothing,Card,300.08
Male,32,Cosmetics,Card,162.64
Male,47,Cosmetics,Card,162.64
Male,33,Food & Beverage,Cash,47.07
Male,66,Technology,Card,26250.0
Female,55,Cosmetics,Cash,1016.5
Female,24,Food & Beverage,Card,83.68
Female,64,Toys,Card,896.0
Female,27,Shoes,Card,15004.25
Female,62,Cosmetics,Card,162.64
Female,68,Cosmetics,Card,162.64
Female,62,Cosmetics,Card,365.94
Male,36,Souvenir,Cash,11.73
Male,64,Clothing,Card,2700.7200000000003
Male,22,Technology,Cash,16800.0
Female,47,Cosmetics,Card,40.66
Female,40,Toys,Card,35.84
Female,58,Food & Beverage,Card,5.23
Male,32,Books,Cash,60.6
Female,36,Clothing,Card,300.08
Female,34,Food & Beverage,Card,130.75
Female,37,Clothing,Card,7502.0
Female,55,Cosmetics,Card,40.66
Female,25,Shoes,Cash,2400.68
Female,50,Clothing,Cash,4801.28
Male,66,Shoes,Cash,5401.53
Male,52,Clothing,Cash,300.08
